activation_threshold,gate_temperature,target_activation_rate,refractory,f1,precision,recall,tp,fp,fn,tn,energy_savings_pct,activations,total_inputs
0.52,0.1,0.15,0,0.09050978304272594,0.1440677966101695,0.06598098195226082,340,2020,4813,42827,90.65988900669109,2360,50000
0.53,0.1,0.15,0,0.09050978304272594,0.1440677966101695,0.06598098195226082,340,2020,4813,42827,90.65988900669109,2360,50000
0.54,0.1,0.15,0,0.09263942499667245,0.14745762711864407,0.06753347564525519,348,2012,4805,42835,90.65853989994517,2360,50000
0.55,0.1,0.15,0,0.09290563024091573,0.1478813559322034,0.06772753735687949,349,2011,4804,42836,90.65780628145784,2360,50000
0.56,0.1,0.15,0,0.09290563024091573,0.1478813559322034,0.06772753735687949,349,2011,4804,42836,90.65780628145784,2360,50000
0.57,0.1,0.15,0,0.09290563024091573,0.1478813559322034,0.06772753735687949,349,2011,4804,42836,90.65780628145784,2360,50000
0.58,0.1,0.15,0,0.09290563024091573,0.1478813559322034,0.06772753735687949,349,2011,4804,42836,90.65780628145784,2360,50000
0.59,0.1,0.15,0,0.09290563024091573,0.1478813559322034,0.06772753735687949,349,2011,4804,42836,90.65780628145784,2360,50000
0.6,0.1,0.15,0,0.09290563024091573,0.1478813559322034,0.06772753735687949,349,2011,4804,42836,90.65780628145784,2360,50000
0.61,0.1,0.15,0,0.09290563024091573,0.1478813559322034,0.06772753735687949,349,2011,4804,42836,90.65780628145784,2360,50000
0.62,0.1,0.15,0,0.09263942499667245,0.14745762711864407,0.06753347564525519,348,2012,4805,42835,90.65571459089557,2360,50000
